	person_id	arrest_id	charge_degree	offense_category	arrest_date_event
3571	25060	9904022	misdemeanor	other	2013-12-13
3572	33253	10499564	misdemeanor	property	2013-05-27
3573	98350	10530684	misdemeanor	violent	2013-05-16
3574	93743	8884967	misdemeanor	other	2014-11-17
3575	91690	8895046	misdemeanor	other	2014-11-13
3576	115414	9729689	misdemeanor	other	2014-02-08
3577	65964	9834887	misdemeanor	property	2014-01-03
3578	91690	8951771	misdemeanor	property	2014-10-23
3579	78880	9508153	felony	property	2014-04-26
3580	106675	9306305	felony	other	2014-06-27
3581	114124	9375174	misdemeanor	other	2014-06-04
